external_gene_name,siRNAaRNF4_untreated_1,siRNAaRNF4_7d_of_osteogenesis_1,scrambled_untreated_1,scrambled_7d_of_osteogenesis_1,siRNAaRNF4_untreated_2,siRNAaRNF4_7d_of_osteogenesis_2,scrambled_untreated_2,scrambled_7d_of_osteogenesis_2,siRNAaRNF4_untreated_4,siRNAaRNF4_7d_of_osteogenesis_4,scrambled_untreated_4,scrambled_7d_of_osteogenesis_4
TSPAN6,1001.640967,815.3946194,940.0300018,567.4756807,1234.772642,1000.728185,808.8216626,561.1865156,1848.576512,1220.447604,876.6788267,755.3848792
TNMD,3.130128023,0.0,30.94000006,5.345139849,1.947590918,1.05008204,3.797284801,0.0,0.0,0.0,0.0,0.984856427
DPM1,831.570678,928.7239069,919.1000017,1140.296501,795.5908899,819.0639916,1039.506714,982.594102,674.7193839,696.4510784,1145.181936,1077.432931
SCYL3,359.9647226,425.465037,331.2400006,352.7792301,343.749797,369.6288782,209.7999853,165.663916,218.6488347,229.307702,209.1951936,243.2595374
C1orf112,178.4172973,109.4876167,147.4200003,173.7170451,128.5410006,119.7093526,223.0904821,220.5400882,92.7601117,165.8216853,105.6759225,149.6981768
FGR,0.0,0.960417691,0.910000002,3.563426566,0.0,1.05008204,0.9493212,3.106198426,0.0,0.947552488,2.15665148,2.95456928
CFH,4366.528592,6790.153073,3518.060007,7099.236576,4749.200453,6866.486463,2668.541894,2368.993999,5286.22208,6919.975817,5338.790739,10423.72042
FUCA2,1458.639659,1344.584767,1939.210004,2820.452127,1567.810689,1360.906324,2944.794363,3198.348979,2118.02255,1526.507058,3009.60714,2616.763525
GCLC,922.3443907,1251.424251,717.0800013,2166.563352,836.4902992,963.9753132,430.9918249,852.1337681,589.6892815,555.2657577,571.5126422,1605.315975
NFYA,742.8837174,794.2654302,724.3600014,723.3755929,807.2764354,798.0623508,844.8958682,696.8238468,1165.022831,1039.465079,799.0393734,693.3389243
STPG1,365.1816027,319.819091,322.1400006,346.5432336,408.0202973,383.2799448,468.0153517,349.9650226,449.4448269,466.1958239,437.8002505,365.3817343
NIPAL3,614.5484685,526.3088945,1989.260004,2109.548527,649.5215711,601.6970092,3052.067659,2678.578442,926.4968299,740.9860453,4117.047676,3426.315508
